home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Al Ittihad,Lokomotiv Tashkent,2016-03-01,1,1,F,AFC CL,Al Ittihad (Saudi Arabia),Lokomotiv Tashkent (Uzbekistan),saudi-arabia,uzbekistan,SA,UZ,Asia,Asia,Asia,international
Al Ittihad,Al Nasr SC,2016-03-15,1,2,F,AFC CL,Al Ittihad (Saudi Arabia),Al Nasr SC (United Arab Emirates),saudi-arabia,united-arab-emirates,SA,AE,Asia,Asia,Asia,international
Al Ittihad,Sepahan FC,2016-04-20,4,0,F,AFC CL,Al Ittihad (Saudi Arabia),Sepahan FC (Iran),saudi-arabia,iran,SA,IR,Asia,Asia,Asia,international
Al Ittihad,Al Rayyan,2019-03-04,5,1,F,AFC CL,Al Ittihad (Saudi Arabia),Al Rayyan (Qatar),saudi-arabia,qatar,SA,QA,Asia,Asia,Asia,international
Al Ittihad,Lokomotiv Tashkent,2019-04-09,3,2,F,AFC CL,Al Ittihad (Saudi Arabia),Lokomotiv Tashkent (Uzbekistan),saudi-arabia,uzbekistan,SA,UZ,Asia,Asia,Asia,international
Al Ittihad,Al Wahda,2019-05-21,1,1,F,AFC CL,Al Ittihad (Saudi Arabia),Al Wahda (United Arab Emirates),saudi-arabia,united-arab-emirates,SA,AE,Asia,Asia,Asia,international
Al Jaish,Pakhtakor Tashkent,2005-03-09,0,2,F,AFC CL,Al Jaish (Syria),Pakhtakor Tashkent (Uzbekistan),syria,uzbekistan,SY,UZ,Asia,Asia,Asia,international
Al Jaish,Al Zawraa,2005-04-20,0,0,F,AFC CL,Al Jaish (Syria),Al Zawraa (Iraq),syria,iraq,SY,IQ,Asia,Asia,Asia,international
Al Jaish,Al Ahli Sfc,2005-05-25,0,4,F,AFC CL,Al Jaish (Syria),Al Ahli Sfc (Saudi Arabia),syria,saudi-arabia,SY,SA,Asia,Asia,Asia,international
Al Jaish,Tractor Sazi,2013-03-12,3,3,F,AFC CL,Al Jaish (Qatar),Tractor Sazi (Iran),qatar,iran,QA,IR,Asia,Asia,Asia,international
Al Jaish,Al Jazeera Abu Dhabi,2013-04-02,3,1,F,AFC CL,Al Jaish (Qatar),Al Jazeera Abu Dhabi (United Arab Emirates),qatar,united-arab-emirates,QA,AE,Asia,Asia,Asia,international
Al Jaish,Al Shabab,2013-04-24,3,0,F,AFC CL,Al Jaish (Qatar),Al Shabab (Saudi Arabia),qatar,saudi-arabia,QA,SA,Asia,Asia,Asia,international
Al Jaish,Al Ahli Sfc,2013-05-14,1,1,F,AFC CL,Al Jaish (Qatar),Al Ahli Sfc (Saudi Arabia),qatar,saudi-arabia,QA,SA,Asia,Asia,Asia,international
Al Jaish,Nasaf Qarshi,2014-02-08,5,1,F,AFC CL,Al Jaish (Qatar),Nasaf Qarshi (Uzbekistan),qatar,uzbekistan,QA,UZ,Asia,Asia,Asia,international
Al Jaish,Qadsia SC,2014-02-15,3,0,F,AFC CL,Al Jaish (Qatar),Qadsia SC (Kuwait),qatar,kuwait,QA,KW,Asia,Asia,Asia,international
Al Jaish,Foolad Khuzestan FC,2014-02-25,0,0,F,AFC CL,Al Jaish (Qatar),Foolad Khuzestan FC (Iran),qatar,iran,QA,IR,Asia,Asia,Asia,international
Al Jaish,Al Fateh,2014-04-01,2,0,F,AFC CL,Al Jaish (Qatar),Al Fateh (Saudi Arabia),qatar,saudi-arabia,QA,SA,Asia,Asia,Asia,international
Al Jaish,FC Bunyodkor,2014-04-23,1,2,F,AFC CL,Al Jaish (Qatar),FC Bunyodkor (Uzbekistan),qatar,uzbekistan,QA,UZ,Asia,Asia,Asia,international
Al Jaish,Al Nahda,2015-02-10,2,1,F,AFC CL,Al Jaish (Qatar),Al Nahda (Oman),qatar,oman,QA,OM,Asia,Asia,Asia,international
Al Jaish,Al Ain FC,2016-03-02,2,1,F,AFC CL,Al Jaish (Qatar),Al Ain FC (United Arab Emirates),qatar,united-arab-emirates,QA,AE,Asia,Asia,Asia,international
Al Jaish,Nasaf Qarshi,2016-03-16,1,0,F,AFC CL,Al Jaish (Qatar),Nasaf Qarshi (Uzbekistan),qatar,uzbekistan,QA,UZ,Asia,Asia,Asia,international
Al Jaish,Al Ahli Sfc,2016-04-19,1,4,F,AFC CL,Al Jaish (Qatar),Al Ahli Sfc (Saudi Arabia),qatar,saudi-arabia,QA,SA,Asia,Asia,Asia,international
Al Jaish,Al Duhail SC,2016-05-25,2,4,F,AFC CL,Al Jaish (Qatar),Al Duhail SC (Qatar),qatar,qatar,QA,QA,Asia,Asia,Asia,international
Al Jaish,Al Nasr SC,2016-08-24,0,3,F,AFC CL,Al Jaish (Qatar),Al Nasr SC (United Arab Emirates),qatar,united-arab-emirates,QA,AE,Asia,Asia,Asia,international
